State,Margin,White,Hispanic or Latino,Black
AL-01,-83.6,68.2,2.2,26.5
AL-02,-39.9,64.9,2.1,30.8
AL-03,-46.1,71.3,1.9,25.0
AL-04,-70.5,87.7,2.4,7.7
AL-05,-37.5,75.8,2.6,18.2
AL-06,-83.7,76.1,2.2,19.5
AL-07,28.8,40.3,1.2,57.1
AK-AL,9.9,66.1,5.9,3.8
AZ-01,-0.9,78.9,11.7,3.6
AZ-02,-7.7,61.3,13.9,2.6
AZ-03,54.0,30.0,51.8,12.0
AZ-04,12.2,67.1,18.9,6.8
AZ-05,-19.3,75.3,14.6,3.7
AZ-06,-1.5,69.7,21.5,3.7
AZ-07,29.1,37.6,51.6,4.4
AZ-08,-100.0,74.9,15.1,4.2
AZ-09,-100.0,67.1,23.3,4.7
AR-01,-47.6,79.1,2.0,16.5
AR-02,-24.8,75.2,2.4,20.0
AR-03,-30.8,82.8,8.3,3.4
AR-04,-44.8,74.3,2.9,20.5
CA-01,-24.0,73.7,14.9,2.5
CA-02,49.3,78.1,11.6,2.2
CA-03,-7.1,78.5,11.0,2.1
CA-04,36.9,65.1,20.5,3.9
CA-05,-22.6,69.9,19.0,2.6
CA-06,11.8,57.5,17.0,11.3
CA-07,36.6,41.4,21.2,12.9
CA-08,51.5,34.2,24.1,19.0
CA-09,9.7,41.6,31.9,8.9
CA-10,78.9,60.5,13.8,5.7
CA-11,67.9,49.6,10.8,6.1
CA-12,81.0,41.9,14.7,19.4
CA-13,-0.4,35.8,51.1,4.6
CA-14,38.7,37.6,19.8,7.6
CA-15,55.5,36.5,20.1,3.8
CA-16,57.8,55.5,13.9,2.8
CA-17,41.9,32.3,15.7,3.3
CA-18,31.7,30.2,50.7,3.2
CA-19,37.6,59.9,17.9,2.8
CA-20,-34.5,61.1,25.9,4.1
CA-21,8.0,27.9,54.3,6.3
CA-22,-3.3,27.4,59.9,6.9
CA-23,-22.1,50.3,33.8,9.3
CA-24,21.4,64.2,26.0,2.6
CA-25,14.7,35.4,54.1,5.7
CA-26,9.1,55.0,32.4,2.5
CA-27,-6.5,43.3,34.6,11.1
CA-28,32.5,34.0,24.2,5.3
CA-29,58.5,29.2,55.0,5.7
CA-30,71.1,60.9,20.0,4.8
CA-31,19.1,20.6,54.5,3.8
CA-32,38.3,61.0,20.1,5.5
CA-33,15.5,25.5,53.9,12.8
CA-34,51.3,16.1,55.9,7.2
CA-35,14.7,22.7,57.6,8.4
CA-36,39.5,62.4,14.6,4.6
CA-37,63.9,17.4,40.3,34.3
CA-38,16.2,19.6,55.3,2.6
CA-39,15.3,28.1,52.6,11.1
CA-40,-13.7,59.1,19.3,2.3
CA-41,-4.7,54.5,30.3,6.2
CA-42,36.7,27.7,53.2,8.4
CA-43,54.7,10.2,44.6,33.7
CA-44,44.4,18.6,52.1,14.8
CA-45,-4.8,35.2,22.9,2.8
CA-46,23.6,25.3,51.8,2.6
CA-47,3.4,62.5,14.1,2.0
CA-48,-20.7,63.6,22.6,3.9
CA-49,5.2,67.0,20.6,3.2
CA-50,25.7,65.6,16.9,3.5
